seed1	3203395597
seed2	3737844653
num_generations	1000
num_sites	2e+08
num_populations	2
init_mse	0
prev_sim_sample	0
compact_type	compact_all
compact_interval	100
device	0

number of time samples	2
time sample	0		1
generation	20000		21000
number of mutations reported	5221		16682
total number of mutations generated	5221		404902
(20944,1,126,0)	0	0	0	27
(20944,1,127,0)	0	0	0	8
(20944,1,134,0)	0	0	1	34
(20944,1,168,0)	0	0	2	16
(20944,1,174,0)	0	0	1	20
(20944,1,181,0)	0	0	8	42
(20944,1,183,0)	0	0	1	73
(20945,0,64,0)	0	0	59	16
(20945,0,80,0)	0	0	0	7
(20945,0,99,0)	0	0	2	39
(20945,0,107,0)	0	0	9	0
(20945,0,113,0)	0	0	27	16
(20945,0,120,0)	0	0	101	4
(20945,0,133,0)	0	0	14	0
(20945,0,143,0)	0	0	41	1
(20945,0,170,0)	0	0	10	0
(20945,1,30,0)	0	0	3	121
(20945,1,57,0)	0	0	2	35
(20945,1,71,0)	0	0	0	73
(20945,1,82,0)	0	0	3	83
(20945,1,95,0)	0	0	1	19
(20945,1,97,0)	0	0	2	40
(20945,1,100,0)	0	0	1	113
(20946,0,3,0)	0	0	42	0
(20946,0,42,0)	0	0	25	0
(20946,0,82,0)	0	0	3	0
(20946,0,84,0)	0	0	89	16
(20946,0,117,0)	0	0	2	64
(20946,0,126,0)	0	0	23	1
(20946,0,135,0)	0	0	77	1
(20946,0,203,0)	0	0	99	0
(20946,0,224,0)	0	0	12	0
(20946,1,14,0)	0	0	7	99
(20946,1,57,0)	0	0	0	9
(20946,1,78,0)	0	0	0	12
(20946,1,82,0)	0	0	0	2
(20946,1,103,0)	0	0	1	18
(20946,1,128,0)	0	0	0	32
(20946,1,143,0)	0	0	5	6
(20946,1,147,0)	0	0	11	59
(20946,1,156,0)	0	0	0	2
(20946,1,161,0)	0	0	11	27
(20946,1,176,0)	0	0	19	83
(20947,0,9,0)	0	0	25	5
(20947,0,31,0)	0	0	12	32
(20947,0,58,0)	0	0	0	21
(20947,0,59,0)	0	0	12	0
(20947,0,130,0)	0	0	21	7
(20947,0,215,0)	0	0	1	0
(20947,1,31,0)	0	0	1	42
(20947,1,33,0)	0	0	0	11
(20947,1,49,0)	0	0	0	48
(20947,1,63,0)	0	0	5	14
(20947,1,86,0)	0	0	6	56
(20947,1,97,0)	0	0	0	35
(20947,1,120,0)	0	0	1	16
(20947,1,130,0)	0	0	0	7
(20947,1,197,0)	0	0	4	53
(20948,0,47,0)	0	0	17	0
(20948,0,81,0)	0	0	0	13
(20948,0,105,0)	0	0	30	0
(20948,0,115,0)	0	0	25	35
(20948,0,151,0)	0	0	72	22
(20948,0,155,0)	0	0	7	0
(20948,0,190,0)	0	0	46	2
(20948,1,34,0)	0	0	0	45
(20948,1,47,0)	0	0	7	63
(20948,1,72,0)	0	0	0	45
(20948,1,78,0)	0	0	6	0
(20948,1,84,0)	0	0	0	8
(20948,1,98,0)	0	0	5	38
(20948,1,136,0)	0	0	0	16
(20948,1,157,0)	0	0	3	0
(20948,1,174,0)	0	0	16	0
(20948,1,188,0)	0	0	0	18
(20948,1,196,0)	0	0	0	17
(20949,0,62,0)	0	0	86	14
(20949,0,75,0)	0	0	22	0
(20949,1,2,0)	0	0	0	18
(20949,1,41,0)	0	0	0	4
(20949,1,43,0)	0	0	0	7
(20949,1,63,0)	0	0	0	2
(20949,1,79,0)	0	0	0	1
(20949,1,89,0)	0	0	0	42
(20949,1,97,0)	0	0	0	45
(20949,1,117,0)	0	0	0	26
(20949,1,123,0)	0	0	0	28
(20949,1,129,0)	0	0	0	6
(20949,1,140,0)	0	0	0	42
(20949,1,154,0)	0	0	14	27
(20949,1,166,0)	0	0	0	27
(20949,1,189,0)	0	0	0	2
(20950,0,13,0)	0	0	0	28
(20950,0,15,0)	0	0	8	0
(20950,0,22,0)	0	0	3	0
(20950,0,80,0)	0	0	2	0
(20950,0,101,0)	0	0	27	0
(20950,0,104,0)	0	0	20	13
(20950,0,191,0)	0	0	10	0
(20950,1,4,0)	0	0	0	27
(20950,1,23,0)	0	0	7	0
(20950,1,41,0)	0	0	0	38
(20950,1,70,0)	0	0	10	57
(20950,1,78,0)	0	0	0	129
(20950,1,107,0)	0	0	7	38
(20950,1,123,0)	0	0	1	4
(20950,1,159,0)	0	0	4	54
(20950,1,162,0)	0	0	14	23
(20950,1,174,0)	0	0	2	48
(20951,0,23,0)	0	0	27	0
(20951,0,58,0)	0	0	14	20
(20951,0,65,0)	0	0	23	0
(20951,0,171,0)	0	0	0	12
(20951,1,3,0)	0	0	1	98
(20951,1,4,0)	0	0	0	24
(20951,1,12,0)	0	0	0	1
(20951,1,14,0)	0	0	0	14
(20951,1,19,0)	0	0	0	10
(20951,1,32,0)	0	0	2	3
(20951,1,35,0)	0	0	45	162
(20951,1,47,0)	0	0	0	3
(20951,1,55,0)	0	0	0	13
(20951,1,82,0)	0	0	0	2
(20951,1,144,0)	0	0	1	15
(20951,1,149,0)	0	0	0	39
(20951,1,151,0)	0	0	0	8
(20951,1,153,0)	0	0	1	18
(20951,1,155,0)	0	0	0	4
(20951,1,161,0)	0	0	0	8
(20951,1,186,0)	0	0	3	29
(20951,1,187,0)	0	0	0	11
(20951,1,188,0)	0	0	0	33
(20951,1,194,0)	0	0	0	26
(20952,0,53,0)	0	0	1	23
(20952,0,62,0)	0	0	16	0
(20952,0,79,0)	0	0	5	0
(20952,0,113,0)	0	0	94	18
(20952,0,132,0)	0	0	2	0
(20952,0,142,0)	0	0	12	0
(20952,0,168,0)	0	0	47	0
(20952,0,180,0)	0	0	4	0
(20952,0,195,0)	0	0	16	0
(20952,1,1,0)	0	0	6	48
(20952,1,9,0)	0	0	2	51
(20952,1,39,0)	0	0	0	43
(20952,1,53,0)	0	0	9	36
(20952,1,73,0)	0	0	39	5
(20952,1,77,0)	0	0	3	16
(20952,1,107,0)	0	0	1	101
(20952,1,124,0)	0	0	0	7
(20952,1,127,0)	0	0	0	3
(20952,1,131,0)	0	0	0	48
(20952,1,150,0)	0	0	0	25
(20952,1,164,0)	0	0	37	0
(20953,0,25,0)	0	0	27	0
(20953,0,33,0)	0	0	18	0
(20953,0,93,0)	0	0	12	0
(20953,0,97,0)	0	0	43	0
(20953,0,124,0)	0	0	11	1
(20953,0,134,0)	0	0	20	0
(20953,0,137,0)	0	0	5	0
(20953,0,144,0)	0	0	8	0
(20953,0,169,0)	0	0	37	5
(20953,0,179,0)	0	0	6	108
(20953,1,62,0)	0	0	1	34
(20953,1,101,0)	0	0	2	44
(20953,1,108,0)	0	0	7	6
(20953,1,109,0)	0	0	1	8
(20953,1,116,0)	0	0	0	19
(20953,1,147,0)	0	0	23	36
(20953,1,162,0)	0	0	0	7
(20953,1,163,0)	0	0	17	119
(20954,0,20,0)	0	0	1	0
(20954,0,48,0)	0	0	29	0
(20954,0,71,0)	0	0	14	15
(20954,0,87,0)	0	0	0	12
(20954,0,89,0)	0	0	17	6
(20954,0,94,0)	0	0	8	0
(20954,0,124,0)	0	0	16	0
(20954,0,157,0)	0	0	19	3
(20954,0,178,0)	0	0	0	27
(20954,0,188,0)	0	0	32	0
(20954,1,5,0)	0	0	23	16
(20954,1,24,0)	0	0	14	33
(20954,1,55,0)	0	0	5	62
(20954,1,69,0)	0	0	3	37
(20954,1,99,0)	0	0	0	14
(20954,1,126,0)	0	0	15	3
(20954,1,130,0)	0	0	0	16
(20954,1,132,0)	0	0	0	63
(20954,1,135,0)	0	0	1	5
(20954,1,157,0)	0	0	3	26
(20954,1,159,0)	0	0	0	10
(20954,1,162,0)	0	0	0	28
(20954,1,195,0)	0	0	7	85
(20955,0,1,0)	0	0	5	2
(20955,0,4,0)	0	0	12	0
(20955,0,8,0)	0	0	21	9
(20955,0,111,0)	0	0	0	1
(20955,0,123,0)	0	0	6	0
(20955,0,133,0)	0	0	27	16
(20955,0,162,0)	0	0	13	8
(20955,0,177,0)	0	0	3	3
(20955,0,181,0)	0	0	29	0
(20955,1,10,0)	0	0	0	5
(20955,1,19,0)	0	0	0	9
(20955,1,41,0)	0	0	3	23
(20955,1,62,0)	0	0	10	20
(20955,1,66,0)	0	0	42	4
(20955,1,74,0)	0	0	0	4
(20955,1,89,0)	0	0	0	16
(20955,1,91,0)	0	0	1	82
(20955,1,123,0)	0	0	3	63
(20955,1,132,0)	0	0	0	17
(20955,1,140,0)	0	0	0	2
(20955,1,169,0)	0	0	2	65
(20955,1,179,0)	0	0	16	66
(20955,1,189,0)	0	0	10	7
(20956,0,39,0)	0	0	15	0
(20956,0,41,0)	0	0	2	30
(20956,0,150,0)	0	0	38	0
(20956,0,171,0)	0	0	0	13
(20956,0,175,0)	0	0	15	0
(20956,1,2,0)	0	0	0	11
(20956,1,17,0)	0	0	0	2
(20956,1,68,0)	0	0	0	28
(20956,1,69,0)	0	0	3	23
(20956,1,125,0)	0	0	0	4
(20956,1,164,0)	0	0	6	24
(20956,1,168,0)	0	0	0	2
(20956,1,199,0)	0	0	36	34
(20957,0,44,0)	0	0	21	0
(20957,0,65,0)	0	0	0	5
(20957,0,161,0)	0	0	49	0
(20957,0,173,0)	0	0	11	5
(20957,0,201,0)	0	0	3	0
(20957,1,17,0)	0	0	0	3
(20957,1,36,0)	0	0	0	14
(20957,1,43,0)	0	0	19	32
(20957,1,49,0)	0	0	17	54
(20957,1,78,0)	0	0	3	0
(20957,1,102,0)	0	0	12	185
(20957,1,104,0)	0	0	0	31
(20957,1,156,0)	0	0	5	26
(20958,0,7,0)	0	0	6	0
(20958,0,27,0)	0	0	12	2
(20958,0,29,0)	0	0	11	0
(20958,0,41,0)	0	0	1	6
(20958,0,52,0)	0	0	11	0
(20958,0,65,0)	0	0	0	10
(20958,0,72,0)	0	0	5	0
(20958,0,87,0)	0	0	23	1
(20958,0,134,0)	0	0	5	0
(20958,0,174,0)	0	0	4	14
(20958,0,179,0)	0	0	10	0
(20958,1,1,0)	0	0	1	64
(20958,1,9,0)	0	0	2	70
(20958,1,14,0)	0	0	3	83
(20958,1,15,0)	0	0	0	43
(20958,1,26,0)	0	0	3	46
(20958,1,43,0)	0	0	28	110
(20958,1,56,0)	0	0	56	109
(20958,1,63,0)	0	0	0	22
(20958,1,88,0)	0	0	1	52
(20958,1,94,0)	0	0	0	11
(20958,1,103,0)	0	0	6	76
(20958,1,123,0)	0	0	0	42
(20958,1,137,0)	0	0	1	48
(20959,0,32,0)	0	0	33	0
(20959,0,44,0)	0	0	1	25
(20959,0,67,0)	0	0	12	21
(20959,0,88,0)	0	0	0	1
(20959,0,101,0)	0	0	7	0
(20959,0,128,0)	0	0	21	0
(20959,0,134,0)	0	0	12	0
(20959,0,146,0)	0	0	29	3
(20959,0,148,0)	0	0	32	0
(20959,0,158,0)	0	0	7	0
(20959,0,160,0)	0	0	24	2
(20959,0,168,0)	0	0	7	0
(20959,0,180,0)	0	0	34	4
(20959,0,185,0)	0	0	18	0
(20959,0,214,0)	0	0	28	6
(20959,1,14,0)	0	0	0	75
(20959,1,17,0)	0	0	0	1
(20959,1,40,0)	0	0	0	75
(20959,1,54,0)	0	0	6	34
(20959,1,56,0)	0	0	0	2
(20959,1,60,0)	0	0	2	74
(20959,1,61,0)	0	0	0	12
(20959,1,63,0)	0	0	0	20
(20959,1,72,0)	0	0	0	1
(20959,1,74,0)	0	0	1	20
(20959,1,93,0)	0	0	2	38
(20959,1,95,0)	0	0	3	33
(20959,1,97,0)	0	0	7	1
(20959,1,119,0)	0	0	0	12
(20959,1,123,0)	0	0	0	7
(20959,1,129,0)	0	0	0	25
(20959,1,171,0)	0	0	0	6
(20959,1,185,0)	0	0	2	20
(20960,0,13,0)	0	0	1	17
(20960,0,18,0)	0	0	70	0
(20960,0,28,0)	0	0	25	2
(20960,0,51,0)	0	0	11	4
(20960,0,63,0)	0	0	17	0
(20960,0,93,0)	0	0	8	0
(20960,0,100,0)	0	0	11	0
(20960,0,102,0)	0	0	2	0
(20960,0,114,0)	0	0	5	0
(20960,0,116,0)	0	0	15	2
(20960,0,136,0)	0	0	3	0
(20960,0,148,0)	0	0	31	14
(20960,0,154,0)	0	0	18	4
(20960,1,13,0)	0	0	8	0
(20960,1,19,0)	0	0	15	41
(20960,1,35,0)	0	0	0	8
(20960,1,55,0)	0	0	0	46
(20960,1,106,0)	0	0	0	7
(20960,1,158,0)	0	0	1	41
(20960,1,178,0)	0	0	1	40
(20960,1,183,0)	0	0	1	87
(20961,0,44,0)	0	0	4	3
(20961,0,47,0)	0	0	31	1
(20961,0,84,0)	0	0	0	9
(20961,0,138,0)	0	0	3	0
(20961,1,26,0)	0	0	0	40
(20961,1,71,0)	0	0	0	5
(20961,1,81,0)	0	0	3	14
(20961,1,89,0)	0	0	0	7
(20961,1,154,0)	0	0	3	16
(20961,1,160,0)	0	0	0	59
(20961,1,161,0)	0	0	0	12
(20961,1,176,0)	0	0	6	17
(20961,1,186,0)	0	0	4	88
(20962,0,16,0)	0	0	25	0
(20962,0,31,0)	0	0	26	68
(20962,0,55,0)	0	0	3	0
(20962,0,58,0)	0	0	0	18
(20962,0,62,0)	0	0	5	1
(20962,0,112,0)	0	0	10	2
(20962,0,174,0)	0	0	0	5
(20962,1,29,0)	0	0	3	41
(20962,1,49,0)	0	0	2	0
(20962,1,133,0)	0	0	0	39
(20962,1,178,0)	0	0	0	6
(20963,0,0,0)	0	0	2	0
(20963,0,92,0)	0	0	47	10
(20963,0,94,0)	0	0	67	8
(20963,0,115,0)	0	0	0	24
(20963,0,119,0)	0	0	4	0
(20963,0,131,0)	0	0	8	0
(20963,0,142,0)	0	0	30	2
(20963,0,165,0)	0	0	6	0
(20963,0,166,0)	0	0	16	0
(20963,1,4,0)	0	0	0	3
(20963,1,16,0)	0	0	2	4
(20963,1,68,0)	0	0	4	33
(20963,1,91,0)	0	0	0	9
(20963,1,167,0)	0	0	0	16
(20964,0,34,0)	0	0	7	0
(20964,0,70,0)	0	0	21	1
(20964,0,85,0)	0	0	2	0
(20964,0,92,0)	0	0	1	0
(20964,0,123,0)	0	0	6	0
(20964,0,127,0)	0	0	42	6
(20964,0,149,0)	0	0	1	0
(20964,0,173,0)	0	0	3	13
(20964,0,187,0)	0	0	70	15
(20964,0,190,0)	0	0	32	0
(20964,1,51,0)	0	0	0	67
(20964,1,77,0)	0	0	0	8
(20964,1,82,0)	0	0	0	6
(20964,1,116,0)	0	0	0	11
(20964,1,153,0)	0	0	0	62
(20964,1,154,0)	0	0	0	31
(20964,1,166,0)	0	0	15	62
(20964,1,167,0)	0	0	2	38
(20965,0,31,0)	0	0	10	6
(20965,0,43,0)	0	0	9	0
(20965,0,59,0)	0	0	14	0
(20965,0,69,0)	0	0	35	1
(20965,0,76,0)	0	0	8	0
(20965,0,113,0)	0	0	51	0
(20965,0,133,0)	0	0	1	0
(20965,0,134,0)	0	0	3	0
(20965,0,143,0)	0	0	0	2
(20965,0,172,0)	0	0	0	26
(20965,0,174,0)	0	0	24	0
(20965,1,7,0)	0	0	1	6
(20965,1,10,0)	0	0	0	30
(20965,1,13,0)	0	0	0	27
(20965,1,18,0)	0	0	3	17
(20965,1,28,0)	0	0	4	29
(20965,1,58,0)	0	0	0	30
(20965,1,60,0)	0	0	0	12
(20965,1,73,0)	0	0	0	21
(20965,1,83,0)	0	0	0	7
(20965,1,89,0)	0	0	0	21
(20965,1,90,0)	0	0	0	40
(20965,1,103,0)	0	0	0	1
(20965,1,104,0)	0	0	1	12
(20965,1,118,0)	0	0	0	27
(20965,1,119,0)	0	0	0	2
(20965,1,120,0)	0	0	15	43
(20965,1,132,0)	0	0	9	13
(20965,1,150,0)	0	0	0	19
(20965,1,153,0)	0	0	0	7
(20965,1,157,0)	0	0	0	2
(20965,1,164,0)	0	0	25	40
(20965,1,169,0)	0	0	9	22
(20965,1,172,0)	0	0	2	3
(20965,1,173,0)	0	0	0	30
(20965,1,181,0)	0	0	0	25
(20965,1,197,0)	0	0	1	14
(20965,1,198,0)	0	0	1	15
(20965,1,201,0)	0	0	0	29
(20965,1,207,0)	0	0	0	4
(20966,0,17,0)	0	0	17	0
(20966,0,40,0)	0	0	3	0
(20966,0,76,0)	0	0	2	0
(20966,0,86,0)	0	0	19	0
(20966,0,89,0)	0	0	42	0
(20966,0,101,0)	0	0	14	0
(20966,0,154,0)	0	0	7	0
(20966,1,6,0)	0	0	0	5
(20966,1,26,0)	0	0	0	58
(20966,1,27,0)	0	0	0	20
(20966,1,32,0)	0	0	0	11
(20966,1,68,0)	0	0	1	13
(20966,1,77,0)	0	0	0	38
(20966,1,93,0)	0	0	0	9
(20966,1,99,0)	0	0	0	10
(20966,1,101,0)	0	0	31	29
(20966,1,106,0)	0	0	15	45
(20966,1,159,0)	0	0	2	85
(20966,1,181,0)	0	0	0	7
(20967,0,32,0)	0	0	9	6
(20967,0,154,0)	0	0	14	1
(20967,0,167,0)	0	0	82	2
(20967,0,171,0)	0	0	1	0
(20967,0,179,0)	0	0	9	0
(20967,0,188,0)	0	0	1	0
(20967,0,191,0)	0	0	7	0
(20967,1,2,0)	0	0	0	11
(20967,1,20,0)	0	0	0	31
(20967,1,30,0)	0	0	10	18
(20967,1,43,0)	0	0	4	83
(20967,1,51,0)	0	0	1	56
(20967,1,67,0)	0	0	16	36
(20967,1,76,0)	0	0	1	8
(20967,1,79,0)	0	0	2	27
(20967,1,84,0)	0	0	5	40
(20967,1,87,0)	0	0	3	49
(20967,1,96,0)	0	0	0	12
(20967,1,99,0)	0	0	0	3
(20967,1,107,0)	0	0	2	10
(20967,1,114,0)	0	0	0	5
(20967,1,119,0)	0	0	0	34
(20967,1,144,0)	0	0	0	10
(20967,1,157,0)	0	0	0	7
(20967,1,172,0)	0	0	18	15
(20967,1,189,0)	0	0	0	1
(20967,1,194,0)	0	0	0	17
(20967,1,198,0)	0	0	0	4
(20967,1,204,0)	0	0	0	1
(20968,0,18,0)	0	0	37	9
(20968,0,76,0)	0	0	12	1
(20968,0,99,0)	0	0	22	0
(20968,0,126,0)	0	0	6	10
(20968,0,127,0)	0	0	8	0
(20968,0,132,0)	0	0	8	0
(20968,0,146,0)	0	0	27	0
(20968,0,168,0)	0	0	49	0
(20968,0,185,0)	0	0	13	0
(20968,0,203,0)	0	0	1	0
(20968,1,11,0)	0	0	0	18
(20968,1,59,0)	0	0	0	7
(20968,1,64,0)	0	0	0	5
(20968,1,67,0)	0	0	0	11
(20968,1,85,0)	0	0	0	2
(20968,1,107,0)	0	0	0	13
(20968,1,119,0)	0	0	0	20
(20968,1,134,0)	0	0	2	25
(20968,1,145,0)	0	0	0	5
(20968,1,158,0)	0	0	8	98
(20968,1,160,0)	0	0	1	28
(20968,1,165,0)	0	0	0	3
(20968,1,166,0)	0	0	0	4
(20968,1,174,0)	0	0	0	19
(20968,1,178,0)	0	0	0	12
(20968,1,203,0)	0	0	0	10
(20968,1,210,0)	0	0	0	5
(20969,0,13,0)	0	0	0	20
(20969,0,149,0)	0	0	35	11
(20969,0,176,0)	0	0	11	0
(20969,1,70,0)	0	0	0	12
(20969,1,80,0)	0	0	0	7
(20969,1,82,0)	0	0	0	6
(20969,1,98,0)	0	0	7	85
(20969,1,109,0)	0	0	0	32
(20969,1,113,0)	0	0	0	17
(20969,1,129,0)	0	0	2	59
(20969,1,134,0)	0	0	0	11
(20969,1,165,0)	0	0	1	59
(20969,1,199,0)	0	0	3	17
(20969,1,202,0)	0	0	0	12
(20969,1,221,0)	0	0	0	31
(20970,0,5,0)	0	0	5	0
(20970,0,25,0)	0	0	2	8
(20970,0,47,0)	0	0	0	24
(20970,0,48,0)	0	0	4	0
(20970,0,52,0)	0	0	42	0
(20970,0,78,0)	0	0	1	0
(20970,0,86,0)	0	0	54	2
(20970,0,96,0)	0	0	7	0
(20970,0,100,0)	0	0	13	0
(20970,0,124,0)	0	0	2	0
(20970,0,129,0)	0	0	8	0
(20970,0,158,0)	0	0	1	8
(20970,0,164,0)	0	0	0	2
(20970,0,173,0)	0	0	10	0
(20970,0,177,0)	0	0	1	0
(20970,0,200,0)	0	0	2	0
(20970,0,203,0)	0	0	4	0
(20970,0,206,0)	0	0	10	0
(20970,1,40,0)	0	0	0	9
(20970,1,43,0)	0	0	0	15
(20970,1,46,0)	0	0	0	10
(20970,1,54,0)	0	0	0	7
(20970,1,63,0)	0	0	3	19
(20970,1,80,0)	0	0	0	10
(20970,1,98,0)	0	0	0	24
(20970,1,112,0)	0	0	0	9
(20970,1,124,0)	0	0	0	15
(20970,1,129,0)	0	0	0	11
(20970,1,132,0)	0	0	0	5
(20970,1,134,0)	0	0	0	16
(20970,1,136,0)	0	0	0	17
(20970,1,143,0)	0	0	1	45
(20970,1,149,0)	0	0	1	35
(20970,1,161,0)	0	0	0	39
(20970,1,185,0)	0	0	3	13
(20970,1,192,0)	0	0	1	16
(20971,0,19,0)	0	0	10	0
(20971,0,52,0)	0	0	26	2
(20971,0,66,0)	0	0	44	8
(20971,0,70,0)	0	0	4	0
(20971,0,94,0)	0	0	10	0
(20971,0,96,0)	0	0	6	0
(20971,0,108,0)	0	0	0	20
(20971,0,118,0)	0	0	25	0
(20971,0,128,0)	0	0	0	11
(20971,0,173,0)	0	0	27	0
(20971,0,190,0)	0	0	8	5
(20971,1,33,0)	0	0	0	1
(20971,1,37,0)	0	0	0	23
(20971,1,39,0)	0	0	0	8
(20971,1,50,0)	0	0	33	5
(20971,1,57,0)	0	0	3	24
(20971,1,62,0)	0	0	0	17
(20971,1,67,0)	0	0	0	6
(20971,1,70,0)	0	0	0	2
(20971,1,83,0)	0	0	1	24
(20971,1,89,0)	0	0	0	2
(20971,1,90,0)	0	0	0	15
(20971,1,96,0)	0	0	0	8
(20971,1,103,0)	0	0	39	0
(20971,1,110,0)	0	0	9	6
(20971,1,129,0)	0	0	0	33
(20971,1,140,0)	0	0	10	3
(20971,1,152,0)	0	0	0	2
(20971,1,158,0)	0	0	0	12
(20971,1,197,0)	0	0	0	43
(20972,0,4,0)	0	0	19	0
(20972,0,18,0)	0	0	38	1
(20972,0,24,0)	0	0	50	1
(20972,0,29,0)	0	0	1	0
(20972,0,90,0)	0	0	4	0
(20972,0,118,0)	0	0	33	0
(20972,0,121,0)	0	0	14	0
(20972,0,124,0)	0	0	13	0
(20972,0,134,0)	0	0	0	3
(20972,0,153,0)	0	0	35	0
(20972,0,188,0)	0	0	36	0
(20972,1,14,0)	0	0	6	4
(20972,1,38,0)	0	0	0	2
(20972,1,71,0)	0	0	7	22
(20972,1,84,0)	0	0	0	7
(20972,1,98,0)	0	0	6	2
(20972,1,121,0)	0	0	2	6
(20972,1,149,0)	0	0	3	44
(20972,1,150,0)	0	0	12	10
(20972,1,154,0)	0	0	0	7
(20972,1,159,0)	0	0	7	0
(20972,1,162,0)	0	0	0	6
(20972,1,181,0)	0	0	0	54
(20972,1,191,0)	0	0	0	34
(20972,1,194,0)	0	0	0	8
(20973,0,19,0)	0	0	3	0
(20973,0,29,0)	0	0	0	4
(20973,0,32,0)	0	0	15	0
(20973,0,40,0)	0	0	4	2
(20973,0,55,0)	0	0	3	0
(20973,0,97,0)	0	0	24	12
(20973,0,98,0)	0	0	2	3
(20973,0,108,0)	0	0	12	1
(20973,0,110,0)	0	0	51	0
(20973,0,111,0)	0	0	10	0
(20973,0,120,0)	0	0	54	15
(20973,0,142,0)	0	0	0	16
(20973,0,169,0)	0	0	3	0
(20973,0,172,0)	0	0	24	0
(20973,0,206,0)	0	0	13	24
(20973,1,4,0)	0	0	9	13
(20973,1,22,0)	0	0	0	11
(20973,1,35,0)	0	0	0	25
(20973,1,38,0)	0	0	1	29
(20973,1,45,0)	0	0	1	44
(20973,1,49,0)	0	0	11	16
(20973,1,52,0)	0	0	0	36
(20973,1,61,0)	0	0	0	71
(20973,1,93,0)	0	0	0	3
(20973,1,122,0)	0	0	1	26
(20973,1,126,0)	0	0	0	2
(20973,1,127,0)	0	0	0	19
(20973,1,137,0)	0	0	0	7
(20973,1,207,0)	0	0	4	72
(20973,1,211,0)	0	0	0	9
(20973,1,216,0)	0	0	0	2
(20973,1,223,0)	0	0	2	11
(20974,0,0,0)	0	0	12	0
(20974,0,6,0)	0	0	1	0
(20974,0,8,0)	0	0	27	0
(20974,0,13,0)	0	0	8	0
(20974,0,36,0)	0	0	3	12
(20974,0,39,0)	0	0	4	0
(20974,0,46,0)	0	0	1	0
(20974,0,51,0)	0	0	10	7
(20974,0,55,0)	0	0	26	2
(20974,0,73,0)	0	0	16	0
(20974,0,82,0)	0	0	17	0
(20974,0,97,0)	0	0	13	0
(20974,0,102,0)	0	0	35	1
(20974,0,110,0)	0	0	5	0
(20974,0,123,0)	0	0	8	0
(20974,0,147,0)	0	0	17	0
(20974,1,15,0)	0	0	0	31
(20974,1,30,0)	0	0	0	20
(20974,1,48,0)	0	0	0	41
(20974,1,52,0)	0	0	11	35
(20974,1,76,0)	0	0	0	34
(20974,1,80,0)	0	0	0	18
(20974,1,94,0)	0	0	0	6
(20974,1,98,0)	0	0	1	15
(20974,1,109,0)	0	0	8	11
(20974,1,110,0)	0	0	1	30
(20974,1,112,0)	0	0	0	7
(20974,1,121,0)	0	0	0	10
(20974,1,128,0)	0	0	0	5
(20974,1,131,0)	0	0	0	1
(20974,1,132,0)	0	0	0	3
(20974,1,163,0)	0	0	0	9
(20974,1,201,0)	0	0	0	17
(20974,1,203,0)	0	0	0	1
(20975,0,1,0)	0	0	3	0
(20975,0,10,0)	0	0	2	0
(20975,0,11,0)	0	0	0	1
(20975,0,15,0)	0	0	49	0
(20975,0,53,0)	0	0	25	0
(20975,0,57,0)	0	0	14	0
(20975,0,66,0)	0	0	19	0
(20975,0,73,0)	0	0	7	0
(20975,0,94,0)	0	0	5	9
(20975,0,120,0)	0	0	4	0
(20975,0,135,0)	0	0	4	0
(20975,0,160,0)	0	0	2	0
(20975,0,171,0)	0	0	1	23
(20975,0,188,0)	0	0	27	1
(20975,0,196,0)	0	0	1	25
(20975,1,4,0)	0	0	0	17
(20975,1,17,0)	0	0	0	15
(20975,1,38,0)	0	0	14	57
(20975,1,44,0)	0	0	0	33
(20975,1,45,0)	0	0	0	9
(20975,1,60,0)	0	0	0	2
(20975,1,64,0)	0	0	0	7
(20975,1,70,0)	0	0	0	30
(20975,1,92,0)	0	0	0	2
(20975,1,111,0)	0	0	1	27
(20975,1,115,0)	0	0	0	2
(20975,1,139,0)	0	0	2	12
(20976,0,57,0)	0	0	7	0
(20976,0,69,0)	0	0	7	0
(20976,0,80,0)	0	0	2	0
(20976,0,93,0)	0	0	0	18
(20976,0,103,0)	0	0	15	2
(20976,0,116,0)	0	0	7	12
(20976,0,132,0)	0	0	5	0
(20976,0,135,0)	0	0	3	0
(20976,0,140,0)	0	0	10	0
(20976,0,150,0)	0	0	10	0
(20976,0,157,0)	0	0	4	0
(20976,0,178,0)	0	0	8	0
(20976,0,195,0)	0	0	18	0
(20976,1,13,0)	0	0	0	26
(20976,1,17,0)	0	0	0	17
(20976,1,26,0)	0	0	0	11
(20976,1,27,0)	0	0	0	24
(20976,1,37,0)	0	0	0	44
(20976,1,41,0)	0	0	0	1
(20976,1,53,0)	0	0	19	10
(20976,1,56,0)	0	0	0	26
(20976,1,70,0)	0	0	0	25
(20976,1,71,0)	0	0	0	36
(20976,1,78,0)	0	0	3	10
(20976,1,79,0)	0	0	1	52
(20976,1,89,0)	0	0	0	2
(20976,1,90,0)	0	0	1	25
(20976,1,103,0)	0	0	0	39
(20976,1,105,0)	0	0	0	5
(20976,1,118,0)	0	0	0	15
(20976,1,123,0)	0	0	0	16
(20976,1,128,0)	0	0	0	35
(20976,1,132,0)	0	0	1	10
(20976,1,142,0)	0	0	0	10
(20976,1,146,0)	0	0	4	14
(20976,1,150,0)	0	0	7	15
(20976,1,175,0)	0	0	6	19
